Country,risk_score_5y,risk_score_10y,slope_OFR_change_5y,slope_Inflation_pct_5y,sum_OFR_change_5y,sum_Inflation_pct_5y,slope_OFR_change_10y,slope_Inflation_pct_10y,sum_OFR_change_10y,sum_Inflation_pct_10y
Afghanistan,0.432566,0.49961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0.432566,0.49961,-3.316448516943866e-07,-1.6582242705797464e-07,1.8984370426745967e-06,9.492185169997207e-07,-9.772417955700844e-08,-4.8862090482564404e-08,1.8988557791915569e-06,9.494278513381998e-07
Algeria,0.432491,0.499592,-0.003175923709900841,-0.0015879618549515502,0.0144129220920011,0.0072064610460011004,-0.0008229729824491666,-0.00041148649122443973,0.014062892540099507,0.007031446270066023
American Samoa,0.432499,0.499709,-0.01947933440386604,-0.009739667201926839,0.18304561776476552,0.09152280888238638,-0.0077599671029230525,-0.0038799835514606515,0.19154561725907962,0.09577280862955921
Andorra,0.432566,0.49961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.432566,0.49961,-8.544318152597893e-06,-4.272159076261598e-06,5.4863920913313265e-05,2.7431960480397055e-05,-2.6963009759127663e-06,-1.3481504877521599e-06,5.503169885575918e-05,2.7515849471872876e-05
Anguilla,0.431982,0.499456,-0.023564706804064726,-0.01178235340202903,0.1009243691671821,0.0504621845835872,-0.005872289850187894,-0.002936144925093614,0.0935605064713236,0.0467802532356403
Antigua and Barbuda,0.432566,0.49961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.432566,0.49961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,0.444336,0.485553,-0.0021005838512292182,-0.0010502919256132404,2.840453274358926,1.4202266371794756,-0.16122854050039803,-0.08061427025019872,0.3687039014643503,0.18435195073221067
Aruba,0.432566,0.49961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,0.432713,0.499769,0.012603541329356946,0.0063017706646792074,-0.09354566005971879,-0.0467728300298796,0.004728352422778663,0.0023641762113901805,-0.0673840467329358,-0.0336920233664713
